histogram_mean,histogram_std,histogram_skewness,histogram_kurtosis,uniform_pattern_mean,uniform_pattern_std,uniform_pattern_skewness,uniform_pattern_kurtosis,rotation_invariant_mean,rotation_invariant_std,rotation_invariant_skewness,rotation_invariant_kurtosis
0.00390625,0.016723432,4.7326827,23.379448,620.3,1063.1957,1.4484895,0.5583746,0.1,0.12670696,1.0322757,-0.18317413
0.00390625,0.017892152,5.6972456,37.106827,643.9,1087.162,1.3008784,-0.11659483,0.1,0.12783867,1.1138264,0.1505897
0.00390625,0.017606968,5.2341948,29.363789,557.6,959.0992,1.5840466,1.2638555,0.1,0.14736663,1.5485437,1.2489958
0.00390625,0.017457766,5.152019,28.342136,549.9,954.0734,1.6393638,1.4856658,0.1,0.14788958,1.5224766,1.1344986
0.00390625,0.017710377,5.806257,40.699127,743.5,1250.279,1.3087859,-0.03467228,0.1,0.12389877,0.84794116,-0.7654693
0.00390625,0.017251266,5.0085454,26.127811,556.9,907.77295,1.2943416,0.23330466,0.1,0.14194617,1.4205916,0.83997464
0.00390625,0.01803883,5.6982784,36.46473,687.9,1147.1537,1.291429,-0.047542326,0.1,0.12887011,1.0678542,-0.12999249
0.00390625,0.017244335,5.0775304,27.69052,694.5,1169.7882,1.3944038,0.42408288,0.1,0.12768304,1.0087367,-0.37910128
0.00390625,0.016474558,4.493021,20.122274,516.9,911.2943,1.7003274,1.6795182,0.1,0.13735706,1.3068551,0.53767014
0.00390625,0.021431156,9.811124,119.42876,789.5,1489.8938,1.8405902,2.0016348,0.1,0.11804821,0.6478851,-1.2204194
0.00390625,0.020027213,8.705181,97.10744,762.6,1370.0331,1.6357359,1.2110261,0.1,0.115359455,0.5546983,-1.367641
0.00390625,0.016729614,4.703096,22.955502,550.3,897.4733,1.2898335,0.20095019,0.1,0.1332688,1.2375294,0.3751645
0.00390625,0.01815015,5.8280954,38.574112,634.8,1038.5712,1.2083501,-0.3038189,0.1,0.13016577,1.1861416,0.3738792
0.00390625,0.01773261,5.4305487,32.498,654.4,1129.9294,1.4012353,0.24128428,0.1,0.13053665,1.133352,0.11523914
0.00390625,0.016881023,4.737433,22.851105,536.0,931.25336,1.6449587,1.5036929,0.1,0.14318372,1.4399774,0.90931773
0.00390625,0.016876105,4.6803713,21.892498,590.1,1011.72864,1.551627,1.1172905,0.1,0.13909821,1.3310283,0.5629432
0.00390625,0.016773539,4.6273017,21.312641,615.4,1027.508,1.4211705,0.66505647,0.1,0.13689099,1.2299315,0.22268844
0.00390625,0.016772341,4.7464595,23.528719,570.6,950.2523,1.3606606,0.35466093,0.1,0.12912378,1.1761076,0.27247977
0.00390625,0.017136903,5.2875175,32.335567,708.7,1229.8046,1.4504945,0.4683166,0.1,0.11930998,0.7787883,-0.85680413
0.00390625,0.0198289,8.3521,89.39015,826.6,1429.7867,1.416587,0.3104433,0.1,0.116892576,0.5829235,-1.4033245
0.00390625,0.017293943,5.151663,28.608393,656.6,1124.7559,1.4484724,0.5633813,0.1,0.12863554,1.0445027,-0.21628213
0.00390625,0.021389397,9.153435,103.576515,854.8,1523.6576,1.5532973,0.82903326,0.1,0.12193105,0.68123645,-1.2924645
0.00390625,0.022713177,10.274968,127.659454,917.9,1685.5659,1.6364927,1.0979611,0.1,0.12354237,0.71636236,-1.2613424
0.00390625,0.023231333,10.471852,131.51343,954.6,1735.3535,1.6210772,1.0689007,0.1,0.12436387,0.74280316,-1.2133803
0.00390625,0.016927479,4.7565255,23.027882,648.8,1147.9594,1.6444387,1.3573029,0.1,0.13322681,1.1651272,0.035614252
0.00390625,0.018209303,6.3074317,49.314167,745.2,1276.7131,1.3393064,-0.032596134,0.1,0.12328457,0.83739305,-0.75351787
0.00390625,0.01888304,6.9512477,60.96116,768.2,1344.4009,1.3840228,0.051757805,0.1,0.1222234,0.7883842,-0.89224863
0.00390625,0.016392572,4.4738307,20.079353,565.6,985.82666,1.5544865,0.9921337,0.1,0.12641716,1.0787339,-0.0075335503
0.00390625,0.018039888,6.4915047,54.099747,713.8,1202.0881,1.3051662,-0.06875035,0.1,0.1147717,0.6273145,-1.0898349
0.00390625,0.017958121,6.4517817,53.484634,733.8,1270.4656,1.3608502,0.002716227,0.1,0.114318885,0.5794734,-1.243724
0.00390625,0.018764526,7.285967,68.876755,753.0,1322.5243,1.4088374,0.16038348,0.1,0.11461746,0.58322954,-1.2513298
0.00390625,0.01668238,4.593962,21.062593,577.6,966.5336,1.4060462,0.5565713,0.1,0.13395604,1.255882,0.42720914
0.00390625,0.020111587,8.417407,90.23264,827.0,1436.9769,1.4401263,0.40262634,0.1,0.11980847,0.66142654,-1.2746569
0.00390625,0.018524146,6.955312,62.44638,768.5,1317.269,1.3415378,-0.024372883,0.1,0.11909512,0.6926458,-1.094969
